,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,system_attrs_fixed_params,state
55,55,1057.0,2023-01-29 05:21:32.401914,2023-01-29 05:28:32.448709,0 days 00:07:00.046795,tanh,10,0.0007317209203167054,0.0511020782049801,0.0001927384326410831,2.6154552042837587,small,0.9488979217950199,1024,,COMPLETE
56,56,201.0,2023-01-29 05:28:32.449463,2023-01-29 05:35:29.073421,0 days 00:06:56.623958,tanh,5,0.0007518535376484567,0.050278759285434516,0.0001140846679837318,2.9143545103024935,small,0.9497212407145654,32,,COMPLETE
57,57,1119.0,2023-01-29 05:35:29.074074,2023-01-29 05:42:25.282731,0 days 00:06:56.208657,tanh,9,0.0005156622747407014,0.06856468429867885,0.0002227256156467384,2.5653104623097125,small,0.9314353157013211,512,,COMPLETE
58,58,140.0,2023-01-29 05:42:25.283378,2023-01-29 05:49:25.788103,0 days 00:07:00.504725,tanh,10,0.000533771369336415,0.06539896374461175,2.8843350642512995e-05,2.6045864371706577,small,0.9346010362553883,1024,,COMPLETE
59,59,1164.0,2023-01-29 05:49:25.788716,2023-01-29 05:56:19.867313,0 days 00:06:54.078597,relu,9,0.0013308385822802026,0.07663570395711342,0.00019024287008661774,3.478570404779269,tiny,0.9233642960428866,512,,COMPLETE
60,60,140.0,2023-01-29 05:56:19.868000,2023-01-29 06:03:11.641318,0 days 00:06:51.773318,relu,7,0.00040008836709490617,0.03686266899474833,2.5069084316069446e-05,3.5305397464543127,tiny,0.9631373310052517,128,,COMPLETE
61,61,873.0,2023-01-29 06:03:11.642073,2023-01-29 06:10:04.368043,0 days 00:06:52.725970,relu,9,0.001060001301356104,0.06839556874746447,0.00022779066083193782,3.258152256184765,tiny,0.9316044312525356,512,,COMPLETE
62,62,905.0,2023-01-29 06:10:04.368646,2023-01-29 06:16:58.966155,0 days 00:06:54.597509,relu,9,0.0012996717067958355,0.07422190565393752,0.00023026482501544554,3.4570508587835325,tiny,0.9257780943460625,512,,COMPLETE
63,63,780.0,2023-01-29 06:16:58.966811,2023-01-29 06:23:46.797923,0 days 00:06:47.831112,relu,8,0.0008955161111744574,0.07527736626788382,0.00017057887331856322,4.15884758218714,tiny,0.9247226337321162,256,,COMPLETE
64,64,940.0,2023-01-29 06:23:46.798603,2023-01-29 06:30:40.370254,0 days 00:06:53.571651,relu,9,0.0014845104684698264,0.05103077074660634,7.526056907499425e-05,2.8327572658855176,tiny,0.9489692292533937,512,,COMPLETE
65,65,845.0,2023-01-29 06:30:40.370881,2023-01-29 06:37:30.366688,0 days 00:06:49.995807,relu,8,0.0006097088834121945,0.02338508132955174,7.697248178721805e-05,2.7402923946878595,tiny,0.9766149186704483,256,,COMPLETE
66,66,619.0,2023-01-29 06:37:30.367440,2023-01-29 06:44:21.098610,0 days 00:06:50.731170,relu,9,0.004055654349904111,0.04888948258967372,1.4183246791930528e-05,3.8912377728694243,tiny,0.9511105174103263,512,,COMPLETE
67,67,696.0,2023-01-29 06:44:21.099369,2023-01-29 06:51:11.107157,0 days 00:06:50.007788,relu,9,0.0015021913103377576,0.03850863466188478,0.00010493038856538699,2.8625492401944523,tiny,0.9614913653381152,512,,COMPLETE
68,68,140.0,2023-01-29 06:51:11.107827,2023-01-29 06:58:02.182612,0 days 00:06:51.074785,relu,6,0.0007990719862771254,0.054788010261427836,6.43798465007362e-05,2.357540787412645,tiny,0.9452119897385721,64,,COMPLETE
69,69,546.0,2023-01-29 06:58:02.183385,2023-01-29 07:04:49.440471,0 days 00:06:47.257086,relu,10,0.002257938301864056,0.03268131093782031,3.876499243990974e-05,3.160427147446156,tiny,0.9673186890621797,1024,,COMPLETE
70,70,546.0,2023-01-29 07:04:49.441117,2023-01-29 07:11:40.318123,0 days 00:06:50.877006,relu,9,0.0004182712204361351,0.01767429513804047,0.00016082744229842846,4.745542533668623,tiny,0.9823257048619596,512,,COMPLETE
71,71,673.0,2023-01-29 07:11:40.318856,2023-01-29 07:18:29.048817,0 days 00:06:48.729961,relu,8,0.0013009784385245413,0.08445596434146341,0.00024967654562037175,3.538547580478736,tiny,0.9155440356585366,256,,COMPLETE
72,72,140.0,2023-01-29 07:18:29.049573,2023-01-29 07:25:24.701808,0 days 00:06:55.652235,relu,9,0.0014939207651182152,0.07704293183720329,0.1818815437753467,3.368808045069771,tiny,0.9229570681627968,512,,COMPLETE
73,73,608.0,2023-01-29 07:25:24.702537,2023-01-29 07:32:16.326973,0 days 00:06:51.624436,relu,9,0.001009874649788326,0.09712978227577866,0.00010272385113031624,3.006477090330122,tiny,0.9028702177242214,512,,COMPLETE
74,74,140.0,2023-01-29 07:32:16.327704,2023-01-29 07:39:14.346603,0 days 00:06:58.018899,relu,3,0.0006398569436526402,0.0551324590913259,0.0005464316267064681,2.652616915979371,tiny,0.9448675409086741,8,,COMPLETE
75,75,519.0,2023-01-29 07:39:14.347333,2023-01-29 07:46:04.555043,0 days 00:06:50.207710,relu,10,0.0033209558628937365,0.00029157392834563647,4.861125224742876e-05,2.425509562105398,tiny,0.9997084260716543,1024,,COMPLETE
76,76,1056.0,2023-01-29 07:46:04.555779,2023-01-29 07:52:52.486629,0 days 00:06:47.930850,relu,9,0.0010996358649999723,0.04389554306290792,0.000296739645522824,3.785866867421681,tiny,0.9561044569370921,512,,COMPLETE
77,77,110.0,2023-01-29 07:52:52.487304,2023-01-29 07:59:43.927692,0 days 00:06:51.440388,tanh,10,0.001119791687701133,0.04876921228090061,0.0008019920028085926,3.8623027678526416,small,0.9512307877190994,1024,,COMPLETE
78,78,367.0,2023-01-29 07:59:43.928318,2023-01-29 08:06:30.025028,0 days 00:06:46.096710,tanh,10,0.002051371081193876,0.025844502455358773,0.0003782545278213894,2.1886088409377473,tiny,0.9741554975446413,1024,,COMPLETE
79,79,971.0,2023-01-29 08:06:30.025690,2023-01-29 08:13:24.974425,0 days 00:06:54.948735,relu,8,0.0005076505888982686,0.03921427201204332,0.0001382338728700236,4.649263582662556,small,0.9607857279879567,256,,COMPLETE
80,80,958.0,2023-01-29 08:13:24.975107,2023-01-29 08:20:18.497356,0 days 00:06:53.522249,tanh,8,0.0003240334619266096,0.03279280185918607,0.00017023750537220104,4.9621912916848325,small,0.9672071981408139,256,,COMPLETE
81,81,140.0,2023-01-29 08:20:18.498001,2023-01-29 08:27:11.816508,0 days 00:06:53.318507,tanh,7,0.00026944808830867866,0.033442356405321644,0.00030880862499422417,4.801389786666332,small,0.9665576435946783,128,,COMPLETE
